,label
4587,0
792,0
2796,1
2426,0
3503,1
1772,0
45,0
5684,0
87,0
1744,0
4570,0
2328,0
479,0
4418,0
4964,1
2839,1
5274,0
3157,0
4013,0
3891,0
2940,1
5231,0
3261,1
4540,0
1505,1
3476,0
4734,1
811,0
5985,0
2279,0
3302,0
4838,0
1284,0
162,0
4141,0
2104,0
4136,1
985,0
1069,0
1755,1
5139,0
3052,0
2953,1
4929,1
4238,0
4716,0
2807,0
5281,1
1109,0
4642,0
2190,0
2877,0
5403,1
4853,0
996,1
2875,0
5744,0
5617,1
5291,0
1698,0
976,0
2294,0
892,1
4086,1
4831,0
4646,0
2154,0
1581,1
135,0
3101,0
2472,1
384,1
2132,0
2038,1
4763,1
2259,0
1471,1
658,0
2048,0
5728,0
2235,0
3755,0
5770,0
2303,0
5722,0
5996,0
3864,1
1298,0
5195,0
849,0
3267,1
4908,1
2528,1
3449,0
4308,0
1946,0
4571,0
3570,0
1785,0
5952,0
1922,0
5438,1
3692,0
2784,0
4123,0
3262,1
210,1
3838,1
2730,0
3746,1
2493,0
2314,0
4584,0
2571,1
5169,0
3542,0
1567,0
3693,0
646,0
3037,0
5456,0
4304,1
2029,0
3553,0
3690,0
4209,0
5293,0
2707,1
2539,1
4376,1
3174,1
4220,0
5173,0
2876,0
1691,1
4399,0
668,1
3885,1
4664,0
1721,0
3650,0
1282,0
1206,0
872,0
1475,0
831,1
1273,0
5233,0
3322,0
2106,1
561,0
1132,1
3829,1
5638,1
5426,0
1380,0
526,1
1465,1
2842,0
2551,1
641,1
4819,0
4095,0
5452,0
3931,1
1813,0
1485,1
1996,1
3875,0
2217,1
2378,1
5348,0
325,1
2355,0
1115,0
2131,0
5534,0
5959,0
70,0
2194,0
1752,0
3288,0
2250,0
4005,0
4799,0
5513,0
834,0
5816,0
4529,0
2586,0
57,1
2939,0
4056,0
4860,0
3074,0
246,0
5372,0
3842,0
2755,1
2211,1
5884,0
4904,1
1974,0
1295,0
1965,0
4849,1
5647,0
294,0
2872,0
2958,1
5032,0
2818,1
4424,0
2026,0
5699,1
514,0
1678,0
1011,0
4740,0
2043,0
3941,0
5550,0
4017,1
406,0
450,1
32,1
2065,0
3605,0
2478,0
3490,0
3522,0
5280,1
5718,0
3345,0
5001,0
4337,1
630,0
1399,0
4792,0
2379,0
3485,0
2425,1
2640,0
1545,0
4647,0
633,0
1458,0
4110,0
5315,0
2782,1
5230,0
3907,0
3065,0
1931,0
5192,1
37,0
2090,1
2501,1
462,1
2849,0
5639,0
4614,0
5652,0
5137,0
3225,1
2601,0
1765,0
3351,1
1277,0
2464,0
1361,0
5096,0
2481,0
3756,0
720,0
938,0
122,0
4854,0
5727,0
1850,1
1853,0
5152,0
2484,1
5843,0
4574,0
5219,0
4360,0
161,0
576,0
4613,1
545,1
2285,0
5392,1
4596,1
5484,0
5586,0
263,0
3844,0
788,0
1047,0
1902,0
3161,0
3691,1
890,0
5164,0
5854,0
1709,0
2193,0
118,0
2465,1
847,1
2793,0
1708,0
4389,0
2718,0
471,1
5153,1
1349,1
2752,1
4275,0
5548,0
1410,0
5533,1
4457,0
1276,0
5263,0
2147,0
2070,0
3603,0
1309,1
775,0
2178,0
1480,0
5666,1
3130,1
3407,0
5056,0
4741,1
5002,0
569,0
1509,0
22,1
5616,0
4889,1
2975,0
4602,0
5370,0
1406,1
1491,1
4607,0
4811,1
1658,1
4416,0
2457,0
5992,1
2840,1
2325,0
5262,1
3038,1
2216,0
3092,0
581,1
5499,0
844,0
5058,0
5867,0
3176,0
5235,1
468,1
4033,0
3985,1
1839,0
3035,1
5808,0
5197,0
5569,0
1683,0
3461,0
3209,0
3365,0
1089,0
2443,0
3471,0
3566,0
2527,1
1279,1
5972,1
4101,0
4094,0
3350,1
4447,0
4683,1
2340,1
4385,0
2604,0
2013,0
2164,0
3975,1
5626,0
2894,1
5528,0
1274,0
4670,1
1951,0
2724,0
1753,0
1499,0
1761,1
4805,1
2857,0
4537,0
1649,1
2804,0
1265,0
5204,0
1636,0
2214,0
5287,0
3646,0
4994,0
3585,0
230,0
1389,0
5900,1
3033,1
5549,1
1470,0
5700,0
5723,0
1665,1
4872,0
5815,1
760,0
2838,0
5419,0
3169,0
2284,0
3657,1
4628,1
1368,0
5527,1
3071,0
1489,0
3297,1
3582,0
1852,1
5121,0
648,0
995,0
4887,0
5509,0
1972,0
1118,0
4070,0
1432,0
1240,0
5679,1
4676,0
5175,0
1803,0
3578,0
2388,1
1791,0
3149,0
900,1
5743,0
5147,1
4328,0
2743,1
3641,0
4956,0
1800,1
2401,0
1478,1
3391,0
5366,0
498,1
3315,0
1104,0
1942,0
3950,0
23,0
2049,0
4450,0
4137,0
708,1
983,0
1497,1
5563,0
5352,0
3595,0
2974,0
3099,0
5033,1
3447,1
3354,1
2381,1
5705,1
3111,0
4549,0
1338,0
1738,1
3672,0
3656,1
927,0
5213,1
4440,1
1490,0
868,0
3523,0
3927,0
803,0
536,0
4480,1
3160,1
4925,0
774,0
2959,0
4871,0
1239,1
1960,1
3507,0
1474,0
390,0
787,0
5211,0
5288,0
638,0
3088,1
185,0
4443,1
5252,0
3173,1
680,0
2377,1
4878,1
2306,0
2230,1
485,0
4626,0
4322,0
1814,0
2533,0
4088,1
904,1
2635,1
3119,0
53,1
1266,0
3714,1
3944,1
2255,0
1420,1
1919,1
4944,0
5612,0
4428,0
553,1
5013,0
3836,0
354,0
3067,0
2701,0
3559,0
3814,0
3055,0
1105,0
2720,0
3363,0
4822,0
1202,0
5414,0
622,1
5557,1
3990,0
1759,0
2873,1
2663,1
3335,0
5848,0
3766,0
4178,1
4408,0
1727,1
2753,0
408,0
5696,0
1428,1
4046,1
4198,0
1077,0
2669,0
4291,0
1912,1
4265,0
1256,0
5877,0
1999,0
3029,0
3926,0
5520,1
1127,0
1387,0
2521,0
2400,0
4581,0
1760,0
67,1
3080,0
4685,0
1366,1
3964,1
1376,0
5474,0
2619,0
5342,0
85,0
5595,0
248,1
3917,0
3655,1
4514,0
5119,0
712,0
4622,1
930,0
809,1
3403,0
724,0
1437,0
501,0
4367,0
2275,1
5053,0
1997,1
3683,0
1068,0
4167,1
5043,0
1872,1
368,1
2568,0
4999,0
3251,0
1768,0
2923,1
364,0
4430,1
2992,1
748,1
2738,0
5500,0
1834,0
685,0
190,0
747,1
221,1
4031,0
1009,0
1787,0
1412,1
2084,0
4835,0
1385,1
5165,0
4700,1
4508,0
2905,0
1271,1
1021,1
2631,1
3243,1
4973,0
1232,0
2016,0
2507,1
3093,1
836,0
1148,0
2670,0
1439,1
1784,1
2626,0
4229,1
182,0
382,1
1487,0
5709,1
1695,0
3790,0
2944,0
706,0
1423,0
5334,0
3648,0
5692,0
4196,0
3242,0
2565,0
1774,0
3726,0
4030,1
5383,0
1757,1
3183,1
457,1
358,1
441,1
1640,0
3822,0
2072,0
2761,0
929,0
663,0
5150,0
5630,1
482,0
4014,0
3162,0
1879,1
4168,0
2920,0
2525,0
1888,0
3970,1
3974,0
5913,0
2608,1
2513,0
421,0
4847,1
3450,0
3713,0
767,1
5376,1
4488,0
3743,1
5330,0
2549,1
5131,0
1404,0
3063,0
5194,1
1496,0
857,0
3464,0
925,0
2184,1
1150,0
3284,0
5490,0
2769,0
5712,0
4928,1
4749,1
1073,0
2830,0
4629,1
3698,0
4255,0
3007,0
4495,0
1522,1
687,0
4592,1
5543,0
4433,1
3830,1
3680,0
5124,0
1230,0
3978,0
2823,0
2526,0
3649,0
4476,0
4254,0
1530,0
1793,1
853,0
3307,0
4785,0
5850,1
1280,0
1992,0
3682,0
3323,0
1324,1
4625,1
4598,0
615,0
369,0
2629,0
2853,0
1441,0
5618,0
3558,1
5190,0
5322,0
2324,0
1046,0
5911,0
3710,0
4036,1
2809,0
3266,0
3763,1
1359,1
4772,0
5525,1
4893,1
5837,0
149,0
5206,0
4520,0
4214,1
4003,1
5583,0
3341,0
3207,0
3900,0
3653,0
3424,1
516,1
2729,0
4533,0
1173,1
2530,0
5977,1
4146,1
4923,1
946,0
5253,1
1652,1
2466,0
4579,0
692,1
3671,0
289,0
3514,0
4794,0
2805,0
4556,1
2591,1
2343,0
61,0
4557,0
5026,1
832,0
2552,1
5855,1
1907,0
934,1
3202,0
4215,0
5475,0
5186,1
4109,0
589,1
2566,1
590,0
1144,0
4390,0
3426,1
3675,0
3479,0
3571,0
3405,0
258,0
1991,0
3723,0
3448,0
3019,0
607,1
2921,0
5861,0
587,1
566,0
1382,0
5439,1
3673,1
3783,0
4681,1
4559,0
5596,0
196,0
5803,0
133,0
3375,0
321,0
2166,0
3965,0
4422,0
905,0
5097,0
1639,0
4197,0
4028,0
1251,0
1697,0
229,0
1056,1
2370,0
5138,0
3439,1
2069,0
579,1
4377,0
4743,1
3932,0
114,1
2150,1
3042,0
3828,1
1190,0
5336,0
226,0
1557,0
17,0
3606,0
2338,0
2612,0
5304,1
3850,1
1729,0
418,0
688,0
988,1
1062,0
950,0
5669,0
2620,1
2277,1
3340,1
86,0
4085,0
4261,0
3432,0
1844,1
288,0
5112,0
1300,0
2125,0
4382,0
2290,0
4286,0
2933,1
422,0
2639,0
5717,1
3397,0
2281,1
1182,1
998,1
4565,0
5220,0
935,0
3705,1
1292,0
4796,0
5014,0
2394,1
2606,1
990,1
3629,1
2219,0
1504,1
4840,0
5084,0
4160,0
3760,0
4747,0
5364,0
249,0
2519,1
3069,0
305,0
273,1
4752,1
4539,0
4285,0
4848,0
5320,1
1473,0
2358,1
1704,0
109,0
2899,0
1445,0
2263,0
1621,0
92,0
166,0
4530,1
3681,0
3318,1
1566,0
234,1
2318,0
4398,0
4111,0
2884,1
897,0
5257,0
961,0
466,0
4165,1
1269,0
5969,0
5981,0
3651,0
1120,1
4302,0
5062,1
2498,0
5047,1
2367,0
5868,0
5036,1
338,0
4874,0
5671,1
3696,0
3833,0
389,0
2891,0
5944,1
436,0
5,0
4292,1
2160,0
3812,0
5338,0
583,0
2955,0
4837,0
1283,0
3373,0
2491,1
3452,0
4442,0
5129,0
643,0
570,1
5064,1
1070,1
4500,0
4942,0
3508,1
3,0
2771,0
989,0
306,0
10,0
2062,0
5443,1
3855,0
3744,1
2052,0
682,1
2577,1
2866,0
2817,1
1088,0
4800,1
332,0
3943,0
4947,0
5628,1
473,0
1894,1
5691,0
4344,0
4002,1
4659,0
3739,0
2287,0
4589,1
3066,0
5823,1
5801,0
2473,1
4561,0
1993,0
2034,1
290,0
2777,0
3374,0
5677,0
1060,0
5323,0
2882,1
4287,0
2076,0
749,1
5925,1
2557,1
2114,0
5166,0
1794,0
219,1
1242,0
1836,1
5494,0
835,0
3100,0
2861,1
4347,0
1129,0
596,0
758,0
1930,1
654,0
2063,0
743,0
3394,1
2865,0
879,0
3957,1
4058,1
3924,0
2436,1
4073,0
3141,1
4106,1
3535,0
1877,0
1503,0
4724,1
782,1
1174,0
3908,0
2736,0
2365,0
2024,1
2439,0
3081,0
3431,0
1018,0
1436,1
177,0
50,0
958,0
2112,0
4284,1
3534,0
4501,0
4982,0
5458,1
3597,0
1980,0
399,1
2692,0
554,1
3295,1
3343,0
3722,0
4972,0
2509,0
5019,0
2693,1
3233,0
1812,0
4705,0
4172,1
386,0
4759,0
3082,0
2171,0
4252,0
409,0
1451,0
5875,0
191,1
4414,0
3358,0
361,0
200,0
336,0
5918,0
5238,0
4638,1
4649,1
3474,0
2613,1
4578,0
3048,0
426,0
3235,0
5753,0
3453,0
3572,0
5820,0
5698,0
3935,0
3789,0
3442,0
1287,0
4004,0
1574,0
3823,0
1373,1
959,0
71,0
3951,0
3849,0
1334,0
169,0
3660,0
4034,0
3475,0
951,0
3871,0
1342,1
1895,0
97,0
2047,0
3562,1
1183,0
4458,1
4205,0
4233,1
5307,1
1577,0
3260,0
4193,0
5057,0
5085,0
5504,1
1093,0
3152,0
3989,1
316,0
3433,0
132,0
1770,1
2666,0
1494,1
3840,0
1667,0
299,0
4711,0
616,0
5487,0
5255,1
1059,1
2053,0
3584,0
5473,0
3210,1
2231,0
1143,0
703,0
2417,1
1128,1
5515,0
4895,0
5432,0
414,1
4541,0
211,1
3113,0
3213,0
5039,1
3491,1
5495,0
2122,0
5379,0
2722,1
1646,1
940,0
5976,1
5768,0
2451,1
713,0
4731,0
1078,0
2203,1
1135,0
2409,0
46,1
1955,1
5031,1
3618,1
779,0
2901,1
2938,1
796,0
3488,1
5390,1
3831,1
5314,0
2567,1
4097,0
5777,1
936,1
351,1
5889,1
1733,0
365,0
3212,0
4808,0
5987,0
5986,0
1015,1
1081,0
3368,0
3551,0
744,0
686,0
963,0
677,0
5299,0
2773,1
4551,0
1719,0
4063,0
1235,0
1454,1
3367,0
3073,0
5844,0
4271,0
5793,1
1236,1
4608,0
1037,0
3473,1
4655,1
3750,0
506,0
4569,0
458,0
1113,0
5228,0
955,0
924,0
341,0
5501,0
3498,1
4989,1
574,0
987,1
719,1
1195,1
1074,0
5611,0
4612,0
5966,0
3147,1
5172,1
47,0
1553,1
4473,1
3598,0
4222,1
3068,0
5578,0
5067,0
1032,1
1856,0
4841,0
547,1
793,0
1501,0
1572,0
2480,0
870,0
2676,0
2470,0
330,0
2351,0
3520,1
4107,0
3687,1
2445,1
1713,0
5316,0
5350,1
5344,1
4943,0
710,0
3294,0
1101,0
5832,0
4396,0
889,0
2748,0
356,0
1304,0
3061,0
493,0
1103,0
69,0
1313,0
3640,0
5199,0
3587,0
1618,0
4257,0
1535,0
175,0
981,0
3214,0
826,0
2452,1
5574,0
1254,1
4200,0
2010,0
3150,0
4253,1
3144,1
764,1
5755,0
1600,0
2,0
800,0
786,1
4359,1
5908,1
3095,0
4446,0
674,0
5114,0
3429,0
5214,1
3561,0
4696,0
2803,1
238,0
427,0
5101,1
204,1
923,1
240,0
3501,0
1927,0
4522,0
670,0
3608,0
3120,0
5947,0
5217,0
694,0
3155,0
1023,1
2776,0
4415,0
4258,0
1044,0
366,0
3894,1
5702,0
1140,1
1378,0
259,1
2307,0
4873,0
3289,0
5713,1
2996,0
4810,0
1214,1
3098,0
163,0
5893,1
2907,0
1583,1
264,0
385,0
1943,0
231,0
2336,1
5140,0
5984,1
701,0
5367,1
4654,0
272,1
3905,1
1126,0
1395,1
277,1
1151,1
2383,0
1019,0
1886,1
5941,0
1446,0
5319,0
4673,0
5156,0
4744,0
2143,1
2808,0
1094,0
4331,1
4595,0
2922,0
4082,0
2545,0
964,1
5327,0
179,1
5887,1
4118,1
3643,0
4431,0
5551,1
1952,0
2157,1
2735,1
105,1
3804,1
999,1
3979,0
488,0
1341,0
5642,0
2041,0
2139,0
4135,0
5161,0
2744,0
2019,1
4760,0
5599,0
4092,1
4729,0
1602,0
1157,0
4270,1
2917,1
5937,1
4380,1
1052,0
1149,0
3222,0
1762,1
3906,0
475,0
4619,0
1994,0
3777,1
1225,0
68,0
2042,0
2863,0
2645,0
1555,0
2327,0
5202,1
2719,0
1660,0
5958,1
3170,0
2928,0
1548,0
2412,0
4809,0
5507,0
975,0
3259,0
76,0
3614,0
1560,0
3949,1
4912,0
2004,0
5609,1
1899,1
5929,0
3002,1
4119,1
4801,0
3654,1
1948,1
1255,0
1728,1
4490,1
2778,0
4225,0
2057,0
4616,0
1911,1
16,0
618,0
2834,0
1310,1
4988,0
2117,0
2077,0
5685,1
4553,0
3328,0
5990,1
846,0
2781,0
4548,1
5529,1
300,0
5282,0
3172,0
2540,0
2727,0
5589,1
5436,0
1732,1
4839,0
51,0
4300,1
874,0
3694,0
2299,0
5381,0
3353,0
2110,0
3977,1
5455,1
4349,0
3689,0
3803,0
2397,0
5155,1
355,0
5780,0
1898,1
1079,0
850,1
228,0
2085,1
5716,1
1578,0
5955,0
5934,1
1914,1
1699,0
1048,0
235,1
1751,1
3456,0
1998,1
2039,0
1347,0
2774,0
1811,0
297,0
5136,1
5132,1
1352,0
2185,0
5778,1
2770,1
5111,0
353,1
2494,1
4228,1
5377,0
2964,1
2880,0
1775,1
4793,0
856,0
1917,0
4911,1
1935,0
3545,0
1554,1
4518,0
3317,1
4738,0
4958,1
3637,0
3538,0
3314,1
2814,0
3223,0
4100,1
4194,0
972,1
4722,0
419,0
3237,0
411,0
2440,0
2384,1
2258,0
2101,0
2516,0
5752,0
3732,0
791,1
3998,1
1317,0
2497,0
2487,0
1693,0
1647,0
2471,1
657,1
2031,0
524,0
5840,1
313,0
943,1
4769,0
1656,0
5264,0
2900,0
1036,1
1703,0
503,1
320,0
4637,1
2174,0
3051,0
2864,0
1311,0
954,0
3199,0
5825,0
3555,0
2649,0
5800,0
2146,0
3805,0
5863,1
40,0
1832,0
4037,0
5962,0
2161,0
2982,1
454,0
5271,0
722,0
3773,0
3156,0
2155,1
5122,0
2459,1
2759,0
4221,0
4615,0
4388,1
3754,0
4585,0
3425,1
5454,1
3669,0
5244,0
681,0
1100,0
4185,1
2885,0
2564,0
702,0
1825,1
2605,0
3256,0
4807,0
1397,0
1405,1
1112,1
652,1
5113,1
2213,1
3615,0
1110,1
5584,0
839,1
5265,0
1585,1
4104,1
5492,0
529,0
2209,0
3097,0
2952,0
4990,0
2697,0
1388,0
413,0
3282,1
937,0
1184,0
4241,1
754,1
4405,1
5813,1
1860,0
5488,1
711,1
1619,1
5089,0
4706,0
172,0
1945,1
564,0
5080,0
2092,0
746,0
5761,1
5735,1
655,1
5278,0
323,1
2854,1
4379,0
2728,0
5994,0
2449,1
1137,1
3976,0
425,0
4152,0
3685,0
5196,0
1947,0
2911,1
5145,0
1348,0
3768,1
600,0
1798,0
5478,1
3709,0
1315,0
5301,0
2517,0
1038,1
783,1
1268,0
5746,0
1413,0
3784,0
121,0
778,0
984,0
5641,0
4682,1
4462,0
745,0
4568,0
5886,0
1764,0
4692,1
4962,0
4315,0
1171,0
3913,0
4821,0
1425,0
2895,1
176,0
4983,1
3529,0
4985,0
3499,1
4375,0
4865,0
82,0
5408,1
2794,0
805,1
4126,1
3043,0
2094,0
1878,0
141,0
4202,0
5167,0
2000,0
3628,1
1318,1
5888,0
3550,0
1058,0
5061,0
5170,0
1417,0
515,1
2825,0
3244,1
1199,0
2169,1
2310,0
4096,1
3022,0
5587,0
4319,0
2254,0
838,1
5332,1
1739,0
5862,0
4978,0
1194,1
3217,0
232,1
5270,0
4980,1
3020,0
2361,0
1355,0
2898,1
1462,0
2183,0
1818,0
3136,1
1424,0
1970,1
5038,0
3371,0
820,1
886,0
393,1
3986,0
1780,1
2462,0
4406,0
5406,0
4762,0
2791,1
476,0
4129,1
456,1
108,0
1883,0
762,0
3036,0
2001,0
2198,0
789,1
5024,0
2319,0
11,0
4365,0
1138,0
2419,1
4240,0
1278,0
4216,0
672,1
2486,0
2703,0
1944,0
1905,0
2025,0
3564,0
4879,0
3181,0
4948,1
5608,0
700,0
77,1
4466,0
2638,0
669,1
5369,0
3469,1
5693,1
2362,0
119,0
2248,0
3556,0
274,0
5577,1
1396,0
5581,0
4290,0
260,0
1633,0
3245,0
5361,1
2990,0
5467,0
3848,0
3230,0
2879,1
5582,1
215,0
1587,0
1231,0
392,0
27,1
3852,0
752,0
1810,0
3865,0
478,0
5540,1
3496,0
4223,1
4834,0
909,0
4279,0
5141,1
4102,0
1558,0
2667,1
3435,0
4909,0
2485,0
4318,1
2151,1
5748,1
2180,0
2331,0
5077,0
563,0
5890,0
3937,1
921,0
5312,1
969,1
1212,0
4802,1
3664,0
913,1
3791,0
4041,0
5435,0
2815,0
2411,0
5841,1
723,0
2126,0
5355,0
4176,1
2123,0
1027,1
597,0
3386,0
6,1
1061,1
1449,0
5629,1
5041,0
997,0
5482,1
3227,1
5329,0
3837,0
5660,1
3839,0
653,1
4325,0
1467,1
5243,0
48,0
318,1
919,1
3668,0
5309,1
3400,1
1609,0
2788,0
2715,1
1950,0
3133,0
2926,1
5759,0
1570,1
3303,1
340,1
5917,1
3738,0
3236,0
3798,0
5758,0
4827,0
4660,1
4610,0
3265,0
1215,0
2415,0
4413,0
4687,0
4060,0
4534,1
518,0
1724,0
5185,1
4064,0
3301,1
766,0
1375,1
1168,0
474,0
2632,0
2954,0
4671,0
5179,0
3902,1
2886,1
3636,0
268,1
1049,0
4542,0
4012,1
5554,0
5623,1
107,1
3477,0
5644,0
4149,0
3129,0
4303,0
2779,0
1983,0
2573,0
5680,0
5088,0
3226,0
5340,1
632,0
3206,0
1426,1
602,1
3489,0
693,0
5074,0
588,0
1694,0
2554,0
3028,0
813,0
1476,0
1158,0
2558,0
4027,0
912,1
2252,1
5733,1
2535,0
4345,1
5597,1
438,1
3820,1
5961,1
609,1
2621,0
4499,0
2855,0
2835,0
3231,0
147,0
3138,1
5009,0
1055,1
5471,1
1354,0
3127,0
993,0
3349,1
2095,1
5695,0
4061,0
3536,1
2142,0
5817,0
3056,0
4621,0
1603,0
2991,0
2967,0
3589,1
4697,0
1296,1
1808,0
4897,0
4164,1
5910,1
5809,0
459,1
254,0
2981,1
3889,1
1920,0
303,0
1156,1
5740,0
676,0
1550,0
2802,1
3576,0
2192,0
5526,0
4634,0
4217,0
4624,0
41,0
5873,0
1549,0
1264,0
4113,0
865,0
4521,0
2570,0
1663,0
5836,1
3679,1
3076,0
2924,0
3987,1
4175,1
4244,1
4091,0
4768,0
4919,0
1041,0
1612,0
344,0
2438,0
3014,0
3106,1
187,0
3819,0
932,0
251,0
5734,0
357,0
278,0
1717,0
4862,0
1463,0
3624,1
5115,0
3600,1
2280,0
1923,0
610,0
4906,0
1374,1
2694,0
328,1
2985,0
3725,0
781,1
4543,0
4771,1
5117,0
3041,1
1962,0
3238,0
5570,0
5154,1
2559,0
4174,1
2673,0
5030,1
2476,0
2468,0
4324,0
2420,1
3832,0
1851,0
2115,0
2713,0
2055,1
2560,0
3846,0
5363,0
3355,1
784,1
4371,0
5664,0
522,1
4920,0
4234,0
2572,0
3346,0
1210,0
1083,1
1017,0
1403,0
1723,0
4474,0
3195,0
3422,0
1689,0
1244,1
4963,1
4967,1
145,1
8,0
1893,0
5365,0
540,0
80,0
1978,0
2210,1
5978,0
4742,0
1106,1
1444,0
1846,0
2032,1
331,0
359,0
4519,0
1915,0
486,0
1187,0
13,0
5665,0
4362,0
4527,0
2427,0
4313,0
2342,0
1610,1
2226,1
757,0
1063,1
90,0
84,0
5421,0
3103,0
4934,0
3275,0
2393,1
966,1
5772,0
4927,0
5879,1
4048,0
59,1
5075,0
1918,1
1976,0
3621,1
5720,0
1788,0
3011,1
5083,0
3122,0
5995,0
5241,0
5430,0
2688,1
1673,0
5606,0
5960,0
5682,0
439,0
4029,0
2488,0
2935,1
477,0
5337,0
5714,1
1117,0
5324,0
715,0
4511,0
2074,1
1528,0
3959,1
2741,0
5624,1
2054,1
3770,1
4563,0
1372,0
4996,0
2479,1
2330,1
391,0
3089,0
58,0
568,1
4386,1
5697,0
26,0
1897,0
4334,0
1626,0
717,0
1025,0
2432,0
3602,0
442,0
1477,0
5246,0
3772,1
4224,0
2556,1
855,1
1099,1
2168,1
859,0
4510,0
819,1
3023,0
4572,1
1650,0
3342,0
1925,0
455,1
52,0
5926,1
4761,0
4116,1
5731,0
2064,0
1217,0
2312,1
4814,0
55,0
3077,0
2341,0
2366,1
3707,0
2627,0
3015,0
2096,0
3887,1
1756,1
5631,0
1735,0
1809,1
3934,0
2271,1
585,0
3610,1
360,1
603,0
4828,0
1599,0
3012,1
3659,0
1147,1
1686,0
1222,0
1714,0
5876,0
3530,1
4498,0
5951,1
3278,0
2145,1
5588,1
795,0
3815,0
4751,0
5883,0
5865,0
5151,0
5963,1
315,1
1604,1
4402,0
926,0
2181,1
5764,0
5087,1
1592,1
5806,0
5782,0
2005,1
1959,1
5035,0
4025,0
3506,1
3897,0
1648,0
4374,0
3377,0
5065,1
5198,1
2205,0
4812,0
5415,0
505,1
2245,1
4114,0
3813,0
4296,0
3500,1
3446,0
3569,1
772,1
4143,0
5069,0
4022,0
2856,0
1929,0
267,0
4817,0
3247,0
2674,1
5375,0
4249,0
1773,0
4686,0
2945,0
1743,0
1637,0
5605,1
1211,0
1252,0
1010,1
1627,0
2461,0
3857,0
3072,0
2302,1
3005,1
2675,0
3967,1
1260,1
2348,0
1885,0
128,1
5773,0
3938,0
1054,0
4468,0
110,0
1257,0
2833,0
1541,0
4730,1
2699,0
5592,0
5901,0
2970,1
3703,1
1301,0
3334,1
1685,0
3459,0
4946,0
1016,1
1263,0
2506,0
3575,1
4483,0
4439,1
1394,1
1030,1
1857,0
1512,0
4826,0
1543,0
3801,1
876,0
2597,1
2297,1
5620,1
4081,1
884,0
490,0
4455,0
5505,0
339,0
822,0
492,0
665,0
5634,1
327,0
5201,1
139,0
4502,1
2622,0
3666,0
250,1
2821,0
3720,1
3546,0
4020,0
2390,0
4007,0
1000,1
2628,1
2837,0
5468,1
3360,1
2583,1
4781,0
43,1
5389,0
2128,0
270,0
5600,1
511,0
1323,0
2871,0
5362,0
5250,0
4329,1
1286,0
4093,1
5885,0
4823,0
3139,1
2950,0
512,1
810,0
5522,0
4788,0
1679,0
815,1
3309,1
3625,0
5857,0
4586,1
279,0
4536,1
2298,0
2403,1
4877,0
3901,1
3809,0
5275,1
3827,0
5814,1
2912,0
4438,0
3274,1
4158,1
5232,0
171,0
5833,0
4293,1
5775,0
5565,0
3866,1
309,0
1827,1
5858,0
5335,0
1981,0
1779,0
111,0
1539,0
4913,1
1758,0
4656,0
1538,0
970,0
5305,0
1188,0
4852,0
5824,1
2441,0
4173,1
3504,0
262,0
198,0
2288,1
721,0
2220,0
3923,1
3876,0
5405,0
5063,1
5675,0
3882,0
